title,answer
Gross Rent Multiplier,"Gross Rent Multiplier is the ratio of the price of a real estate investment to it annual rental income before accounting for expenses such as property taxes, insurance, utilities etc."
Capitalization Rate or Cap Rate,The capitalisation rate is the rate of return on a real estate investment property based on the income that the property is expected to generate. The capitalisation rate is used to estaimate the investors potential return on his or her investment.
Speculator Vs. Investor,"The main difference between speculating and investing is the amount of risk undertaken in the trade. Typically high risk trades that are akin to gambling fall under the umbrella of speculation, whereas lower risk investments based on fundamentals and analysis fall into the category of investing."
What documents should you inspect before purchasing an investment property,"Land and property title documents, court affidavit detailing the absence of any caveat or injunctions on the property."
what agencies deal with property document verification,"Depending on the country, there should be a government issuing body responsible for all land oversight documentation i.e. AGIS in Abuja Nigeria"
Power of attorney,"A power of attorney (POA) or letter of attorney is a written authorization to represent or act on another's behalf in private affairs, business, or some other legal matter, sometimes against the wishes of the other. The person authorizing the other to act is the principal, grantor, or donor (of the power)."
What taxes do I need to pay at the point of purchase of a property,Taxes on property vary depending on the country of purchase. Please contact us for further info
What is stamp duty,"Stamp duty is a tax that is levied on documents. Historically, this included the majority of legal documents such as cheques, receipts, military commissions, marriage licences and land transactions."
What fees do I pay when I inherit an investment property,For inherited property there are usually no direct fees as the fees for transfer and taxes are charged to the estate of the deceased
What are non occupancy charges,"Not applicable to all regions or countries, The non occupancy charge is for rented/leased apartments. It means that the owner is not occupying it. Basically, the society wants a cut of the rent in addition to the maintenance charges. ... The society charges non occupancy fees when it is rented."
How will I be updated on the progress of my investment,This is dependent on the Asset Manager and the terms agreed on with regard to asset reporting
What is the difference between gross lease and triple net lease,"In a gross lease, the tenant pays a single amount and the landlord pays the expenses, whereas in a net lease the tenant pays a net amount to the landlord and the tenant pays the expenses."
Do no money down deals in property investment work?,There is no such thing as no money down. Maybe none of your money down but essentially all property investment transactions require a payment in funds before any contractual process begins
Does property investment help me get rich quick,No. there are no short cuts to finacial success. Try high risk gambling
Pension investment VS. Property investment,"Most pension funds are linked to a mix of investment vehicles that are very sensitive to economic changes as they fall into the equities market. On the other hand, real estate is a tangible investment asset capable of providing recurring revenue and less succeptible to the volatility of changing economic indices."
Off plan property,Off-plan property is a property before a structure has been constructed upon it. Pre-constructions are usually marketed to real estate developers and to early adopters as developments so that the purchaser can secure much better finance terms from their lenders.
Commercial VS. Residential property,Commercial properties are basically buy to lease investments targeted at businesses for commercial activities while residential property relates to real estate investmets seeking to cater home/family market segment. 
Investing in property development,"Real estate development, or property development, is a business process, encompassing activities that range from the renovation and re-lease of existing buildings to the purchase of raw land and the sale of developed land or parcels to others. Real estate developers are the people and companies who coordinate all of these activities, converting ideas from paper to real property."
Land VS. Property Investment,"In simple terms this, as the words imply, is the invetment in bare undeveloped Land or constructed buildings. "
Can I lose money through property investing,"Like all other forms of investing, there are inherent risks of loss. Property investment is no different."
Homeowners insurance,homeowners insurance is a form of property insurance that covers losses and damages to an individuals house and to assets in the home. Homeowners insurance also provides liability coverage against accidents in the home or on the property
Joint ownership,"Joint property is property with more than one owner. In divorce law, joint property is distinguished from a marital asset, which refers to all property acquired during the course of the marriage, regardless of ownership or who holds the title to it. Marital assets may consist at least partly of joint assets."
Student pods ,A pod is an individual unit within a student accommodation residence.
Student property investment,This is investment in particular properties targeted at students. In other word it?s and investment vehicle in buy to let properties for students only.
Can I Get financing for student property investment,Yes you can but the terms and availability vary across regions and countries. 
is there a good or bad time to invest in property,"It is always a good time to invest as long as you follow the rule of proper indepth research, planning and information gathering on the prospective properties sought after."
what happens to investment property prices when inflation is low,"Increasing money supply causes inflation and this causes prices, including house prices to increase. Therfore low inflation will correspondinly create a subtle price increase to property values."
which countries are best for property investment,It depends on the state of the countrys economy. Emerging economies with a vibrant tourisim industry and stable currency values are usually the best destination for real estate investments. This is mainly due to the prospect of higher retuns and property value appreciation. 
Should I open a local bank account when buying overseas property,"When dealing with overseas property investment it is advised that one should seek a local real estate attorney or adviser to give a better, clearer picture of the local laws and taxes regarding their real estate market."
Should I take out a local or overseas mortgage to finance the investment,"When dealing with overseas property investment it is advised that one should seek a local real estate attorney or adviser to give a better, clearer picture of the local laws and taxes regarding their real estate market."
How do I receive my income after investing in a foreign country/overseas,"When dealing with overseas property investment it is advised that one should seek a local real estate attorney or adviser to give a better, clearer picture of the local laws and taxes regarding their real estate market."
how do I pay my taxes on earnings from foreign investments,"When dealing with overseas property investment it is advised that one should seek a local real estate attorney or adviser to give a better, clearer picture of the local laws and taxes regarding their real estate market."
